
> backend@1.0.0 dev
> ts-node --transpile-only src/index.ts

[dotenv@17.3.1] injecting env (0) from .env -- tip: 🔐 encrypt with Dotenvx: https://dotenvx.com
🚀 API Superior V2 corriendo en http://localhost:3001
🤖 Bot de Telegram activo.
✅ Conexión a Base de Datos de Producción estable.
[2026-03-07T00:19:29.042Z] OPTIONS /api/stats/global?periodo=2026
[2026-03-07T00:19:29.049Z] GET /api/stats/global?periodo=2026
[2026-03-07T00:19:29.064Z] OPTIONS /api/stats/global?periodo=2026
[2026-03-07T00:19:29.065Z] GET /api/stats/global?periodo=2026
[2026-03-07T00:19:33.104Z] OPTIONS /api/stats/global?periodo=2026
[2026-03-07T00:19:33.105Z] GET /api/stats/global?periodo=2026
[2026-03-07T00:19:33.106Z] OPTIONS /api/stats/global?periodo=2026
[2026-03-07T00:19:33.107Z] GET /api/stats/global?periodo=2026
[2026-03-07T00:19:42.024Z] OPTIONS /api/auth/login
[2026-03-07T00:19:42.026Z] POST /api/auth/login
Login Successful: admin@seplan.gob.mx | Roles: SuperAdministrador | Mission: undefined
[2026-03-07T00:19:42.098Z] OPTIONS /api/dashboard/stats?periodo=2026
[2026-03-07T00:19:42.099Z] OPTIONS /api/activities?periodo=2026
[2026-03-07T00:19:42.099Z] GET /api/dashboard/stats?periodo=2026
[2026-03-07T00:19:42.100Z] GET /api/activities?periodo=2026
[2026-03-07T00:19:42.130Z] GET /api/activities?periodo=2026
[2026-03-07T00:19:42.137Z] GET /api/dashboard/stats?periodo=2026
[2026-03-07T00:19:44.938Z] OPTIONS /api/stats/global?periodo=2026
[2026-03-07T00:19:44.938Z] GET /api/stats/global?periodo=2026
[2026-03-07T00:19:44.982Z] GET /api/stats/global?periodo=2026
[2026-03-07T00:20:03.562Z] OPTIONS /api/entities?periodo=2026
[2026-03-07T00:20:03.563Z] GET /api/entities?periodo=2026
[2026-03-07T00:20:03.607Z] GET /api/entities?periodo=2026
[2026-03-07T00:20:03.615Z] OPTIONS /api/entries/2?periodo=2026
[2026-03-07T00:20:03.617Z] OPTIONS /api/entries/3?periodo=2026
[2026-03-07T00:20:03.625Z] OPTIONS /api/entries/4?periodo=2026
[2026-03-07T00:20:03.627Z] GET /api/entries/2?periodo=2026
[2026-03-07T00:20:03.628Z] OPTIONS /api/entries/5?periodo=2026
[2026-03-07T00:20:03.656Z] GET /api/entries/3?periodo=2026
[2026-03-07T00:20:03.663Z] OPTIONS /api/entries/9?periodo=2026
[2026-03-07T00:20:03.663Z] OPTIONS /api/entries/6?periodo=2026
[2026-03-07T00:20:03.663Z] OPTIONS /api/entries/10?periodo=2026
[2026-03-07T00:20:03.663Z] OPTIONS /api/entries/7?periodo=2026
[2026-03-07T00:20:03.663Z] OPTIONS /api/entries/8?periodo=2026
[2026-03-07T00:20:03.664Z] OPTIONS /api/entries/11?periodo=2026
[2026-03-07T00:20:03.664Z] OPTIONS /api/entries/12?periodo=2026
[2026-03-07T00:20:03.664Z] OPTIONS /api/entries/15?periodo=2026
[2026-03-07T00:20:03.664Z] OPTIONS /api/entries/13?periodo=2026
[2026-03-07T00:20:03.665Z] OPTIONS /api/entries/14?periodo=2026
[2026-03-07T00:20:03.665Z] OPTIONS /api/entries/17?periodo=2026
[2026-03-07T00:20:03.665Z] OPTIONS /api/entries/18?periodo=2026
